SMILES,MO-REWARD,DOCK-REWARD,QED,SA
O=[SH](=O)c1ccccc1,6.911087494352067,4.37,0.5842392957793138,3.195095084148635
O=C(NS(=O)(=O)c1ccccc1)c1ccccc1,9.224133437040557,5.43,0.916032289394034,1.4645403128697438
O=S(=O)(Nc1ccccc1)c1cccc(F)c1,8.74650228191706,4.68,0.9110561345856388,1.4974675433790168
Cc1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,9.483338218661755,5.81,0.932805045789208,1.5277316721166798
Cc1ccc(S(=O)c2ccc(C(=O)CNC(=O)c3ccccc3)cc2)cc1,8.175631081579162,5.67,0.6652272301197109,2.561207654136002
Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)cc2)cc1,8.294950986983398,5.4,0.6589114621047926,1.7131535080523257
Cc1ccc(CN2C[C@@]34C=C[C@@H](O3)[C@H](C(=O)NCc3ccc(Cl)cc3)[C@H]4C2=O)cc1,7.889578783883872,5.92,0.7523466467384397,4.57167949097257
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC(=O)c3cccc(Cl)c3)cc2)c(C)c1,9.375188036336654,7.57,0.6147524663108738,1.939430844601025
C=Cc1ccc(C)cc1,6.801778010009423,3.54,0.5314306203837756,1.62662493030248
Cc1ccccc1C(=O)Nc1ccccc1,8.673185484260674,4.92,0.8112788228538133,1.2106752312011757
O=C(Nc1ccccc1)c1ccc(Cl)cc1,8.977983824641509,5.24,0.840932652048911,1.1603143616359564
O=C(Nc1cccc([N+](=O)[O-])c1)c1ccc(Cl)cc1,8.936161832509248,6.2,0.6886523017493499,1.5274155618118908
O=C(c1ccccc1)N(Cc1ccccc1)S(=O)(=O)c1ccccc1,8.598248278003753,5.73,0.7039025105539193,1.82192431309972
Cc1ccc(S(=O)(=O)N(C)S(=O)(=O)c2ccccc2)cc1,9.180416095229042,5.93,0.8618329084125824,1.9434509078815625
O=C(c1ccccc1)N(Cc1ccccc1)S(=O)(=O)c1ccccc1,8.940248278003752,6.3,0.7039025105539193,1.82192431309972
O=C(Nc1ccc(F)cc1)c1ccc(C(=O)Nc2ccc(Br)cc2)cc1,8.203468470137452,5.33,0.6260207898336432,1.5563070362412077
Cc1ccc(NS(=O)(=O)c2ccccc2)cc1C,9.118675315645715,5.25,0.9224151091127474,1.5148366567611458
CC(=O)NS(=O)(=O)c1ccc(C(=O)NC2CC2)cc1,8.488156335538477,4.84,0.8359474051418068,1.8180869525742904
O=C(NS(=O)(=O)c1ccc(F)cc1)c1ccc(S(=O)(=O)F)cc1,9.32314837988246,6.35,0.8345350828043785,2.005085926819987
O=S(=O)(Nc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1)c1ccccc1,8.525447716605278,5.81,0.6560174998282288,1.730710795501718
Cc1ccc(S(=O)(=O)NC(=O)Cc2cccc([N+](=O)[O-])c2)cc1,8.570147290471398,5.96,0.664194006710186,1.9317068059408664
Cc1ccc(C(=O)N(Cc2ccccc2)S(=O)(=O)c2ccc3c(c2)CCCC3)cc1,8.892345136549025,7.03,0.590713273438445,2.169823764401876
O=S(=O)(c1ccccc1)N(c1ccccc1)S(=O)(=O)c1ccccc1,8.648167510147823,5.85,0.68808564855852,1.7416747147359253
Cc1ccc(C(=O)N(Cc2ccc([SH](=O)=O)cc2)S(=O)(=O)c2ccccc2)cc1,8.411148007393278,6.41,0.6087787388421972,2.639529878786181
O=C1c2ccccc2C(=O)N1S(=O)(=O)c1ccccc1,8.73645104357317,5.56,0.7876736890660915,1.9002946415452835
