START,END,REWARD,IMPROVEMENT,SIMILARITY
O=C(CCc1nc2ccccc2[nH]1)Nc1ccc2cc[nH]c2c1,O=C1c2ccccc2C(=O)N1c1cccc(N2C(=O)c3ccccc3C2=O)n1,6.47,1.7299999999999995,0.2231404958677686
COc1ccc(CNC(=O)CN(Cc2c(F)cccc2Cl)S(=O)(=O)c2ccc(C)cc2)cc1,N#CSc1ccc(-c2ccc(S(=O)(=O)N=C3C=CC(=NS(=O)(=O)c4ccccc4)c4ccccc43)cc2)cc1,7.56,2.51,0.2289156626506024
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N2CCOCC2)cc1,O=S(=O)(C=C(O)c1cccc(-n2cnnn2)c1)c1ccc(C2OOC(c3cccc(Br)c3)OO2)cc1,7.15,2.3200000000000003,0.1476510067114094
COc1ccc(/C=C/c2nn3c(CSC)nnc3s2)cc1OC,O=[N+]([O-])c1cc(S(=O)(=O)Oc2ccc3c(c2)no[n+]3[O-])ccc1-c1ccccc1,8.65,4.49,0.1044776119402985
CCOc1ccccc1NC(=O)c1cc(S(=O)(=O)NCc2ccc(OC)cc2)ccc1F,NS(=O)(=O)c1ccc(S(=O)(=O)Oc2ccccc2-c2ccccc2)cc1NS(=O)(=O)c1cccc2ccccc12,6.72,2.1899999999999995,0.2848101265822785
CN1C(=O)[C@](CC(=O)NCc2ccncc2)(Cc2ccccc2)c2ccccc21,O=C(C[C@]1(Cc2ccccc2)C(=O)Nc2ccccc21)Oc1ccc(C(=O)On2nnc3ccccc32)cc1,6.59,1.6099999999999994,0.375
CCCCOc1ccc(N2C(=O)NC(=O)/C(=C\c3c(OC)ccc4ccccc34)C2=O)cc1,Nc1nnn(Cc2ccc(N=Nc3ccc(C(=O)Oc4cccc5ccccc45)cc3)cc2)n1,6.43,1.2599999999999998,0.2597402597402597
C[C@@H](SCc1ccccc1)C(=O)NCc1ccc(-n2ccnc2)cc1,O=C(c1ccc(C(=O)c2cccc(Cl)c2)cc1)c1ccc(-n2nnn(-c3ccccc3C(=O)O)c2=O)cc1,6.17,1.95,0.2312925170068027
Cn1c(Oc2ccccc2Br)c(C#N)c(=O)n(C)c1=O,O=[N+]([O-])c1cc([N+](=O)[O-])c(S(=O)(=O)n2ccc3cccnc32)c([N+](=O)[O-])c1,6.54,2.1500000000000004,0.1441441441441441
COc1c(N)cc(-c2nc3cnccc3o2)cc1Br,O=c1ccc2c(Oc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cccc2o1,6.15,1.9400000000000004,0.174757281553398
CCCNC(=O)c1nn2cc(Br)cnc2c1Br,O=C(C#Cc1ccc(C(=O)c2nn3cccnc3c2Br)cc1)c1ccc([N+](=O)[O-])cc1,6.17,1.5,0.2053571428571428
N#Cc1cccc(CNC(=O)CN2C(=O)CCOc3ccccc32)c1,O=C(CN1C(=O)CCOc2ccccc21)c1ccccc1C(=O)c1cccc([N+](=O)[O-])c1,5.04,-0.2299999999999995,0.4553571428571428
Cc1cnc(NC(=O)c2cncc(Cc3ccc(F)cc3)c2)s1,O=C(Oc1ccc(C(=C(Cl)Cl)c2ccc(-n3cnnc3)cc2)cc1)c1cccc2cccnc12,5.9,0.9000000000000004,0.1785714285714285
