START,END,REWARD,IMPROVEMENT,SIMILARITY
COc1ccc(S(=O)(=O)N2CCC[C@@H](C(=O)Nc3cc(C)ccc3C)C2)cc1C,Cc1ccc(C)c(NC(=O)[C@@H]2CCCN(S(=O)(=O)c3ccc(CBr)c(F)c3)C2)c1,6.02,0.3699999999999992,0.7204301075268817
O=C(CCNC1=NS(=O)(=O)c2ccccc21)OCC(=O)c1ccc(Br)cc1,O=S1(=O)N=C(Oc2ccccc2-c2ccc(Br)cc2)c2ccccc21,6.87,1.5600000000000005,0.4230769230769231
O=C(NCc1ccccc1F)N1CCC[C@@H](OCc2ccccn2)C1,Fc1ccccc1CNCc1ccc(OCc2ccccn2)cc1,4.06,-0.5500000000000007,0.44
O=C(NCc1ccccc1F)N1CCC[C@@H](OCc2ccccn2)C1,Fc1ccccc1CNCc1ccc(OCc2ccccn2)cc1,4.57,-0.5899999999999999,0.44
Cc1nc(N2CC[C@@]3(CCCN(C)C3=O)C2)c2ccsc2n1,Cc1nc(N2CC[C@@]3(CCCN(C)C3=O)C2)c2ccsc2n1,5.59,0.4799999999999995,1.0
COc1ccc(Br)c(C)c1N,Cc1nc2ccccc2[nH]1,3.58,0.2099999999999999,0.1836734693877551
COc1ccc2[nH]c(C(=O)Nc3ccc(Cl)cc3)cc2c1,Cc1ccc2[nH]c(C(=O)Nc3ccc(Cl)cc3)cc2c1,5.74,-0.0599999999999996,0.8
CCCCNC(=O)CNS(=O)(=O)c1ccc(C)cc1,Cc1ccc(CNS(=O)(=O)c2ccc(C)cc2)cc1,5.64,1.89,0.4189189189189189
CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)cc12,CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(CCl)cc12,4.94,0.3500000000000005,0.7887323943661971
Cc1cnc(NC(=O)c2cncc(Cc3ccc(F)cc3)c2)s1,Cc1cnc(NC(=O)c2cncc(Cc3ccc(F)cc3)c2)s1,5.31,-0.0100000000000006,1.0
O=C(CCc1nc(-c2ccc(F)cc2)no1)Nc1cccc(N2CCCC2=O)c1,CSSc1ccc(-c2noc(CCNS(=O)(=O)c3cccc(N4CCCC4=O)c3)n2)cc1,7.32,0.8399999999999999,0.5855855855855856
CC(C)(C)SCCNC(=O)C1CCN(S(=O)(=O)Cc2c(F)cccc2Cl)CC1,CN(C)CCNC(=O)C1CCN(S(=O)(=O)Cc2c(F)cccc2Br)CC1,5.61,0.9000000000000004,0.6333333333333333
OC[C@H]1CCCN1c1ncc(Cl)cc1Cl,C[C@H]1CCCN1c1ncc(F)cc1Cl,3.78,-0.0500000000000002,0.5
